ID,STATION,DEPTH,slope,intercept,R2,N
1,P1,SMC2,0.83,0.055,0.677,28
2,P1,SMC5,0.83,0.055,0.677,28
3,P1,SMC20,0.83,0.055,0.677,28
4,P2,SMC2,0.83,0.055,0.677,28
5,P2,SMC5,0.83,0.055,0.677,28
6,P2,SMC20,0.83,0.055,0.677,28
7,P3,SMC2,0.83,0.055,0.677,28
8,P3,SMC5,0.83,0.055,0.677,28
9,P3,SMC20,0.83,0.055,0.677,28
10,I1,SMC2,0.76,0.12,0.47,12
11,I1,SMC5,0.76,0.12,0.47,12
12,I1,SMC20,0.76,0.12,0.47,12
13,I3,SMC2,0.76,0.12,0.47,12
14,I3,SMC5,0.76,0.12,0.47,12
15,I3,SMC20,0.76,0.12,0.47,12
16,B1,SMC5,1.2,0.041,0.905,7
17,B1,SMC20,1.2,0.041,0.905,7
18,B2,SMC5,1,0.18,0.584,8
19,B2,SMC20,1,0.18,0.584,8
20,B3,SMC5,1,0.11,0.443,8
21,B3,SMC20,1,0.11,0.443,8
22,M1,SMC5,0.63,0.22,0.144,8
23,M1,SMC20,0.63,0.22,0.144,8
24,M2,SMC5,NA,NA,NA,NA
25,M2,SMC20,NA,NA,NA,NA
26,M3,SMC5,NA,NA,NA,NA
27,M3,SMC20,NA,NA,NA,NA
28,M4,SMC5,0.88,0.15,0.388,6
29,M4,SMC20,0.88,0.15,0.388,6
30,M5,SMC5,0.2,0.017,0.855,9
31,M5,SMC20,0.2,0.017,0.855,9
32,M6,SMC5,NA,NA,NA,NA
33,M6,SMC20,NA,NA,NA,NA
34,M7,SMC5,NA,NA,NA,NA
35,M7,SMC20,NA,NA,NA,NA
36,S2,SMC5,0.59,0.25,0.36,8
37,S2,SMC20,0.59,0.25,0.36,8
38,S4,SMC5,0.95,0.098,0.502,9
39,S4,SMC20,0.95,0.098,0.502,9
40,S5,SMC5,NA,NA,NA,NA
41,S5,SMC20,NA,NA,NA,NA
42,XS1,SMC5,NA,NA,NA,NA
43,XS1,SMC20,NA,NA,NA,NA
44,XS6,SMC5,NA,NA,NA,NA
45,XS6,SMC20,NA,NA,NA,NA
